State,PovertyStatus,BelowPoverty,AbovePoverty
Alabama,4781688,739108,4042580
Alaska,713725,71938,641787
Arizona,7116266,958442,6157824
Arkansas,2929117,474739,2454378
California,38733295,4552837,34180458
Colorado,5637904,526979,5110925
Connecticut,3460446,347149,3113297
Delaware,944955,106383,838572
District of Columbia,673041,90534,582507
Florida,21048884,2664772,18384112
Georgia,10332523,1373909,8958614
Hawaii,1379078,128722,1250356
Idaho,1753946,195984,1557962
Illinois,12373209,1420542,10952667
Indiana,6517430,775823,5741607
Iowa,3058938,341613,2717325
Kansas,2826818,323189,2503629
Kentucky,4326675,703627,3623048
Louisiana,4515876,857894,3657982
Maine,1304100,141803,1162297
Maryland,5898360,532241,5366119
Massachusetts,6656430,625763,6030667
Michigan,9772151,1269062,8503089
Minnesota,5515416,494683,5020733
Mississippi,2877843,564192,2313651
Missouri,5953025,770175,5182850
Montana,1042682,131882,910800
Nebraska,1877629,185761,1691868
Nevada,3037199,379564,2657635
New Hampshire,1316495,95711,1220784
New Jersey,8712974,798262,7914712
New Mexico,2053305,373230,1680075
New York,18932499,2467006,16465493
North Carolina,10199239,1386122,8813117
North Dakota,738814,78112,660702
Ohio,11362386,1484862,9877524
Oklahoma,3841763,583029,3258734
Oregon,4136542,470643,3665899
Pennsylvania,12387178,1489333,10897845
Rhode Island,1018586,110244,908342
South Carolina,5003235,692744,4310491
South Dakota,854648,101946,752702
Tennessee,6656385,922176,5734209
Texas,28361423,3865010,24496413
Utah,3157996,281279,2876717
Vermont,599030,60897,538133
Virginia,8279357,822775,7456582
Washington,7470152,730240,6739912
West Virginia,1739050,278734,1460316
Wisconsin,5675557,591486,5084071
Wyoming,563528,56945,506583
Puerto Rico,3167190,1376809,1790381
